SMILES,IC50
CC(=CCC1CC2(C(=O)C(=C(C3=CC(=C(C=C3)O)O)O)C(=O)C(C2=O)(C1(C)C)CC=C(C)C)CC(CCC(=C)C)C(=C)C)C,8.294625083
CC(=O)OC1CC2C(C(CC(C2(C3C14CC(CC3O)C(=C)C4=O)C)O)OC(=O)C)(C)C,8.285385501
CC1(CCCC2(C1CC(C3C2CC(=O)C4(C3(O4)C=O)C#C)O)C)C,8.28
CC(=CCC1=C(C=CC2=C1C(=O)C3=C(C4=C(C=C3O2)OC(C=C4)(C)C)O)O)C,8.27167019
CCCCCCCCC1CCCC1(CCCCCNN)C(=O)O,8.269525268
CC(=O)OC1CCC(C(C12COC(=O)C34C2CCC(C3)C(=C)C4=O)CO)(C)C,8.25
CC1=CC2=C(C(=C1)O)C(=O)C(=CC2=O)OC,8.249312557
CC12CCC(CC1CCC3C2CCC4(C35C(O5)CC4C6=COC(=O)C=C6)C)OC=O,8.242424242
CC12CC3CC3(C1CC4=C(C2)C(=O)C(=C(C4=O)OC)OC)C,8.234126984
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,8.232975695
CCCCCCCCCCCCC(C1CCC(O1)C(CCC(CCCCCCCC(CC2=CC(OC2=O)C)O)O)O)O,8.209080248
